区域id	区域名称	区域等级	宣战品id	下限	上限	相邻区域id
1	凌霄城	1	19680	100	400	16;20;23;24;34;35
2	羲皇城	1	19680	100	400	30;32;39;42;47;49
3	河阳城	1	19680	50	200	15;16;17;4;5;6
4	青云山	2	19680	50	200	18;19;20;3;5;7
5	天音寺	3	19680	50	200	21;22;23;3;4;8
6	小池镇	1	19680	50	200	24;25;26;3
7	大王村	2	19680	50	200	27;28;29;3
8	蛮荒神殿	3	19680	50	200	30;31;32;5
9	山河殿	2	19680	50	200	33;34;35
10	七里峒	2	19680	50	200	36;37;38
11	冷云镇	2	19680	50	200	39;40;41
12	修罗殿	2	19680	50	200	42;43;44
13	神农殿	2	19680	50	200	45;46;47
14	鸿蒙古地	2	19680	50	200	48;49;50
15	草庙村	3	19680	10	40	3;16;17;19;20;33
16	相思木	3	19680	10	40	1;3;15;17;20;34
17	南樵山	3	19680	10	40	3;15;16;33;34
18	幻月洞	3	19680	10	40	4;19;20;21;23;28;29
19	大竹峰	3	19680	10	40	4;15;18;20;29
20	小竹峰	3	19680	10	40	1;4;15;16;18;19;23
21	无字玉璧	3	19680	10	40	5;18;22;23;28
22	普济洲	3	19680	10	40	5;21;23;24;25
23	千佛塔	3	19680	10	40	1;5;18;20;21;22;24
24	满月井	3	19680	10	40	1;6;22;23;25;26
25	忠烈碑	3	19680	10	40	6;22;24;26
26	往复山堂	3	19680	10	40	6;24;25
27	天帝宝库	3	19680	10	40	7;28;29;30;31;39;40
28	毒蚁巢	3	19680	10	40	7;18;21;27;29;31
29	长生堂	3	19680	10	40	7;18;19;27;28;40
30	往生殿	3	19680	10	40	2;8;27;28;27;31;32;39
31	碧水寒潭	3	19680	10	40	8;27;28;30;32;43
32	黑云沙海	3	19680	10	40	2;8;30;31;42;43
33	玄火坛	3	19680	10	40	9;15;17;34;35;36
34	鱼人滩	3	19680	10	40	1;9;16;17;33;35
35	狐狱	3	19680	10	40	1;9;33;34;36;38
36	万蛇殿	3	19680	10	40	10;33;35;37;38
37	十万大山	3	19680	10	40	10;36;38
38	天水寨	3	19680	10	40	10;35;36;37
39	天池	3	19680	10	40	2;11;27;30;40;41;47
40	弱水	3	19680	10	40	11;27;29;39;41
41	朗风山	3	19680	10	40	11;39;40;46;47
42	血池	3	19680	10	40	2;12;32;43;44
43	落樱台	3	19680	10	40	12;31;32;42;44
44	法莲寺	3	19680	10	40	12;42;43
45	赤城	3	19680	10	40	13;46;47;49;50
46	帝坛	3	19680	10	40	13;41;45;47
47	仲夏花海	3	19680	10	40	2;13;39;41;45;46;49
48	穹庐	3	19680	10	40	14;49;50
49	观星洞	3	19680	10	40	2;14;45;47;48;50
50	登云台	3	19680	10	40	14;45;48;49
